
2024/01/25 (04:16:15) | ===> btop++ v.1.3.0
2024/01/25 (04:16:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (20:40:16) | ===> btop++ v.1.3.0
2024/01/25 (20:40:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/26 (01:59:10) | ===> btop++ v.1.3.0
2024/01/26 (01:59:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (20:36:24) | ===> btop++ v.1.3.0
2024/01/27 (20:36:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (21:14:14) | ===> btop++ v.1.3.0
2024/01/27 (21:14:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (21:51:30) | ===> btop++ v.1.3.0
2024/01/27 (21:51:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/29 (14:50:15) | ===> btop++ v.1.3.0
2024/01/29 (14:50:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/01 (09:27:51) | ===> btop++ v.1.3.0
2024/02/01 (09:27:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/01 (09:30:16) | ===> btop++ v.1.3.0
2024/02/01 (09:30:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/01 (20:45:12) | ===> btop++ v.1.3.0
2024/02/01 (20:45:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/02 (09:31:10) | ===> btop++ v.1.3.0
2024/02/02 (09:31:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/02 (09:35:42) | ===> btop++ v.1.3.0
2024/02/02 (09:35:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/02 (18:26:38) | ===> btop++ v.1.3.0
2024/02/02 (18:26:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/02 (20:59:22) | ===> btop++ v.1.3.0
2024/02/02 (20:59:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/05 (16:11:13) | ===> btop++ v.1.3.0
2024/02/05 (16:11:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/07 (17:46:25) | ===> btop++ v.1.3.0
2024/02/07 (17:46:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/18 (10:56:58) | ===> btop++ v.1.3.0
2024/02/18 (10:56:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/18 (10:57:25) | ===> btop++ v.1.3.0
2024/02/18 (10:57:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/18 (16:45:35) | ===> btop++ v.1.3.0
2024/02/18 (16:45:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/19 (10:38:31) | ===> btop++ v.1.3.0
2024/02/19 (10:38:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (17:26:28) | ===> btop++ v.1.3.2
2024/02/20 (17:26:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/22 (10:14:57) | ===> btop++ v.1.3.2
2024/02/22 (10:14:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/22 (16:26:16) | ===> btop++ v.1.3.2
2024/02/22 (16:26:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/22 (16:28:20) | ===> btop++ v.1.3.2
2024/02/22 (16:28:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (14:57:50) | ===> btop++ v.1.3.2
2024/02/27 (14:57:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (18:10:13) | ===> btop++ v.1.3.2
2024/02/27 (18:10:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (18:11:09) | ===> btop++ v.1.3.2
2024/02/27 (18:11:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (18:40:11) | ===> btop++ v.1.3.2
2024/02/27 (18:40:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/04 (16:37:10) | ===> btop++ v.1.3.2
2024/03/04 (16:37:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (14:53:17) | ===> btop++ v.1.3.2
2024/03/12 (14:53:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/15 (10:47:30) | ===> btop++ v.1.3.2
2024/03/15 (10:47:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/15 (13:36:20) | ===> btop++ v.1.3.2
2024/03/15 (13:36:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/16 (12:31:35) | ===> btop++ v.1.3.2
2024/03/16 (12:31:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
