2024-01-24 20:06:38 ERROR - failed to create the pid file
2024-01-24 20:06:38 INFO - [clash]: level=info msg="Start initial compatible provider 自动选择(已剔除IPLC)"
2024-01-24 20:06:38 INFO - [clash]: level=info msg="Start initial compatible provider TaiShan Net"
2024-01-24 20:06:38 INFO - [clash]: level=info msg="Start initial compatible provider 故障转移"
2024-01-24 20:06:38 INFO - [clash]: level=info msg="inbound mixed://127.0.0.1:7890 create success."
2024-01-24 20:06:38 INFO - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2024-01-24 20:18:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:58620 --> sofire.baidu.com:443 using GLOBAL"
2024-01-24 20:18:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:58626 --> miao.baidu.com:443 using GLOBAL"
2024-01-24 20:18:14 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49808 --> sync-1-us-west1-g.sync.services.mozilla.com:443 using GLOBAL"
2024-01-24 20:18:15 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49820 --> www.google.com:443 using GLOBAL"
2024-01-24 20:18:15 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49834 --> www.google.com:443 using GLOBAL"
2024-01-24 20:18:16 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49846 --> www.google.com:443 using GLOBAL"
2024-01-24 20:18:16 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49856 --> ocsp.pki.goog:80 using GLOBAL"
2024-01-24 20:18:21 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49908 --> accounts.google.com:443 using GLOBAL"
2024-01-24 20:18:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49932 --> accounts.google.com:443 using GLOBAL"
2024-01-24 20:18:25 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57620 --> hm.baidu.com:443 using GLOBAL"
2024-01-24 20:18:26 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57634 --> ogs.google.com:443 using GLOBAL"
2024-01-24 20:18:26 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57648 --> ocsp.pki.goog:80 using GLOBAL"
2024-01-24 20:18:27 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57662 --> ogs.google.com:443 using GLOBAL"
2024-01-24 20:18:27 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57674 --> www.googleadservices.com:443 using GLOBAL"
2024-01-24 20:18:28 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57686 --> lh3.googleusercontent.com:443 using GLOBAL"
2024-01-24 20:18:28 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57718 --> ocsp.pki.goog:80 using GLOBAL"
2024-01-24 20:18:30 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57730 --> fclog.baidu.com:443 using GLOBAL"
2024-01-24 20:18:30 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57736 --> adservice.google.com:443 using GLOBAL"
2024-01-24 20:18:31 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57748 --> googleads.g.doubleclick.net:443 using GLOBAL"
2024-01-24 20:18:32 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:57762 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
2024-01-24 20:18:32 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49230 --> ocsp.pki.goog:80 using GLOBAL"
2024-01-24 20:18:39 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49236 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
2024-01-24 20:18:39 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49238 --> contile.services.mozilla.com:443 using GLOBAL"
2024-01-24 20:18:39 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49242 --> contile-images.services.mozilla.com:443 using GLOBAL"
2024-01-24 20:18:39 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49252 --> contile-images.services.mozilla.com:443 using GLOBAL"
2024-01-24 20:18:40 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49274 --> r3.o.lencr.org:80 using GLOBAL"
2024-01-24 20:18:40 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49280 --> www.google.com:443 using GLOBAL"
2024-01-24 20:18:40 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:49292 --> www.google.com:443 using GLOBAL"
