2024-01-27 22:54:33 ERROR - failed to create the pid file
2024-01-27 22:54:33 INFO - [clash]: level=info msg="Start initial compatible provider 故障转移"
2024-01-27 22:54:33 INFO - [clash]: level=info msg="Start initial compatible provider 自动选择(已剔除IPLC)"
2024-01-27 22:54:33 INFO - [clash]: level=info msg="Start initial compatible provider TaiShan Net"
2024-01-27 22:54:33 INFO - [clash]: level=info msg="inbound mixed://127.0.0.1:7890 create success."
2024-01-27 22:54:33 INFO - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2024-01-27 23:30:38 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:51910 --> aur.archlinux.org:443 using GLOBAL"
2024-01-27 23:30:43 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:51920 --> aur.archlinux.org:443 using GLOBAL"
2024-01-27 23:30:53 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:37374 --> github.com:443 using GLOBAL"
2024-01-27 23:30:54 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:35482 --> objects.githubusercontent.com:443 using GLOBAL"
2024-01-27 23:30:58 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:35498 --> github.com:443 using GLOBAL"
2024-01-27 23:30:58 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:35514 --> objects.githubusercontent.com:443 using GLOBAL"
2024-01-27 23:32:17 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:44746 --> aur.archlinux.org:443 using GLOBAL"
2024-01-27 23:32:21 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:44760 --> aur.archlinux.org:443 using GLOBAL"
2024-01-27 23:32:21 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:44750 --> aur.archlinux.org:443 using GLOBAL"
2024-01-27 23:32:33 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:35202 --> github.com:443 using GLOBAL"
2024-01-27 23:32:34 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:35210 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:32:46 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:45620 --> github.com:443 using GLOBAL"
2024-01-27 23:32:47 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:45628 --> objects.githubusercontent.com:443 using GLOBAL"
2024-01-27 23:34:41 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:45626 --> github.com:443 using GLOBAL"
2024-01-27 23:34:42 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:45628 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:34:44 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:58846 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:35:35 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:34722 --> github.com:443 using GLOBAL"
2024-01-27 23:35:36 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:34726 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:36:04 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:52946 --> aomedia.googlesource.com:443 using GLOBAL"
2024-01-27 23:37:04 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:42296 --> github.com:443 using GLOBAL"
2024-01-27 23:37:05 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:42306 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:37:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:42316 --> dc.services.visualstudio.com:443 using GLOBAL"
2024-01-27 23:37:17 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:55020 --> github.com:443 using GLOBAL"
2024-01-27 23:37:18 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:55032 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:37:20 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:55038 --> dc.services.visualstudio.com:443 using GLOBAL"
2024-01-27 23:37:46 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:40690 --> chromium.googlesource.com:443 using GLOBAL"
2024-01-27 23:37:56 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:36094 --> github.com:443 using GLOBAL"
2024-01-27 23:37:57 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:36098 --> codeload.github.com:443 using GLOBAL"
2024-01-27 23:37:59 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:36100 --> dc.services.visualstudio.com:443 using GLOBAL"
2024-01-27 23:38:05 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46744 --> dc.services.visualstudio.com:443 using GLOBAL"
2024-01-27 23:38:05 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46756 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46860 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46812 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46848 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46782 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46820 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46796 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46836 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46766 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46790 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:06 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46762 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46874 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46882 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46896 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46916 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46912 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46922 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:07 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46934 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:08 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46950 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:08 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46938 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:08 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46940 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46966 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46978 --> pub.dev:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47042 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46994 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47078 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47066 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47058 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46982 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47068 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46988 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47020 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47006 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47040 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47090 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:46986 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47088 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47032 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:09 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47004 --> pub.dartlang.org:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47102 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47104 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47112 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47128 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47148 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47132 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47164 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47166 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47170 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47186 --> storage.googleapis.com:443 using GLOBAL"
2024-01-27 23:38:10 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:47192 --> storage.googleapis.com:443 using GLOBAL"
